2023-04-19 13:31:10 DEBUG (Main.java:9) Probando log
2023-04-19 13:31:10 INFO  (Main.java:10) se anota?
2023-04-19 13:50:58 INFO  (Imagen.java:27) Se crea una imagen vacia de 600x400
2023-04-19 13:51:06 INFO  (ImagenFrame.java:62) Abrimos el file chooser para escoger un archivo
2023-04-19 13:52:12 INFO  (ImagenFrame.java:62) Abrimos el file chooser para escoger un archivo
2023-04-19 13:52:49 INFO  (ImagenFrame.java:66) C:\Users\favio\Downloads\prueba_foto.jpg
2023-04-19 13:53:01 INFO  (ImagenFrame.java:51) El usuario convierte la imagen a escala de grises
2023-04-21 13:04:46 INFO  (Imagen.java:27) Se crea una imagen vacia de 600x400
2023-04-21 13:04:50 INFO  (ImagenFrame.java:65) Abrimos el file chooser para escoger un archivo
2023-04-21 13:05:20 INFO  (ImagenFrame.java:69) C:\Users\favio\OneDrive\Imágenes\tdp.jpg
2023-04-21 13:05:24 INFO  (ImagenFrame.java:53) El usuario convierte la imagen a escala de grises
2023-04-21 13:25:21 INFO  (Imagen.java:29) Se crea una imagen vacia de 600x400
2023-04-21 13:25:25 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:25:29 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:25:40 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:26:04 INFO  (ImagenFrame.java:79) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:27:25 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:27:28 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:27:31 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:27:42 INFO  (ImagenFrame.java:79) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:27:59 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:28:06 INFO  (ImagenFrame.java:79) C:\Users\favio\OneDrive\Imágenes\tdp.jpg
2023-04-21 13:29:08 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:29:10 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:29:16 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:29:24 INFO  (ImagenFrame.java:79) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:29:30 INFO  (ImagenFrame.java:63) El usuario convierte la imagen a escala de grises
2023-04-21 13:29:37 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:29:39 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:29:41 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:30:15 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:30:17 INFO  (ImagenFrame.java:75) Abrimos el file chooser para escoger un archivo
2023-04-21 13:30:23 INFO  (ImagenFrame.java:79) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:30:25 INFO  (ImagenFrame.java:63) El usuario convierte la imagen a escala de grises
2023-04-21 13:30:27 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:30:30 INFO  (ImagenFrame.java:63) El usuario convierte la imagen a escala de grises
2023-04-21 13:30:31 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:30:35 INFO  (ImagenFrame.java:63) El usuario convierte la imagen a escala de grises
2023-04-21 13:30:40 INFO  (ImagenFrame.java:55) El usuario quita el filtro a la imagen
2023-04-21 13:36:04 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:37:04 INFO  (ImagenFrame.java:86) Abrimos el file chooser para escoger un archivo
2023-04-21 13:37:10 INFO  (ImagenFrame.java:90) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:37:19 INFO  (ImagenFrame.java:74) El usuario convierte la imagen a escala de grises
2023-04-21 13:37:21 INFO  (ImagenFrame.java:66) El usuario quita el filtro a la imagen
2023-04-21 13:37:57 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:38:12 INFO  (ImagenFrame.java:47) El usuario quita la imagen
2023-04-21 13:38:15 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:38:23 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:38:26 INFO  (ImagenFrame.java:76) El usuario convierte la imagen a escala de grises
2023-04-21 13:38:28 INFO  (ImagenFrame.java:68) El usuario quita el filtro a la imagen
2023-04-21 13:38:35 INFO  (ImagenFrame.java:47) El usuario quita la imagen
2023-04-21 13:39:26 INFO  (Imagen.java:30) Se crea una imagen vacia de 600x400
2023-04-21 13:39:28 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:39:33 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Documentos\Untitled Diagram.drawio.png
2023-04-21 13:39:39 INFO  (ImagenFrame.java:47) El usuario quita la imagen
2023-04-21 13:39:49 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:40:10 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:40:15 INFO  (ImagenFrame.java:47) El usuario quita la imagen
2023-04-21 13:40:16 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:40:52 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Imágenes\Imagen1.png
2023-04-21 13:40:58 INFO  (ImagenFrame.java:76) El usuario convierte la imagen a escala de grises
2023-04-21 13:43:26 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:43:35 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Imágenes\tdp 2.jpg
2023-04-21 13:43:38 INFO  (ImagenFrame.java:88) Abrimos el file chooser para escoger un archivo
2023-04-21 13:43:49 INFO  (ImagenFrame.java:92) C:\Users\favio\OneDrive\Imágenes\071a41ca-9a45-4299-9bbe-54edf192bc38.jpg
